,0
ID,0
Source,0
Severity,0
Start_Time,0
End_Time,0
Start_Lat,0
Start_Lng,0
End_Lat,3402762
End_Lng,3402762
Distance(mi),0
Description,5
Street,10869
City,253
County,0
State,0
Zipcode,1915
Country,0
Timezone,7808
Airport_Code,22635
Weather_Timestamp,120228
Temperature(F),163853
Wind_Chill(F),1999019
Humidity(%),174144
Pressure(in),140679
Visibility(mi),177098
Wind_Direction,175206
Wind_Speed(mph),571233
Precipitation(in),2203586
Weather_Condition,173459
Amenity,0
Bump,0
Crossing,0
Give_Way,0
Junction,0
No_Exit,0
Railway,0
Roundabout,0
Station,0
Stop,0
Traffic_Calming,0
Traffic_Signal,0
Turning_Loop,0
Sunrise_Sunset,23246
Civil_Twilight,23246
Nautical_Twilight,23246
Astronomical_Twilight,23246
